Country,Missing Percentage,Indicator
Algeria,0.0,Ice Cream Value
Argentina,0.0,Ice Cream Value
Australia,0.0,Ice Cream Value
Austria,0.0,Ice Cream Value
Azerbaijan,0.0,Ice Cream Value
Belarus,0.0,Ice Cream Value
Belgium,0.0,Ice Cream Value
Bolivia,0.0,Ice Cream Value
Bosnia-Herzegovina,0.0,Ice Cream Value
Brazil,0.0,Ice Cream Value
Bulgaria,0.0,Ice Cream Value
Cameroon,0.0,Ice Cream Value
Canada,0.0,Ice Cream Value
Chile,0.0,Ice Cream Value
China,0.0,Ice Cream Value
Colombia,0.0,Ice Cream Value
Costa Rica,0.0,Ice Cream Value
Croatia,0.0,Ice Cream Value
Czech Republic,0.0,Ice Cream Value
Denmark,0.0,Ice Cream Value
Dominican Republic,0.0,Ice Cream Value
Ecuador,0.0,Ice Cream Value
Egypt,0.0,Ice Cream Value
Estonia,0.0,Ice Cream Value
Finland,0.0,Ice Cream Value
France,0.0,Ice Cream Value
Georgia,0.0,Ice Cream Value
Germany,0.0,Ice Cream Value
Greece,0.0,Ice Cream Value
Guatemala,0.0,Ice Cream Value
"Hong Kong, China",0.0,Ice Cream Value
Hungary,0.0,Ice Cream Value
India,0.0,Ice Cream Value
Indonesia,0.0,Ice Cream Value
Iran,0.0,Ice Cream Value
Ireland,0.0,Ice Cream Value
Israel,0.0,Ice Cream Value
Italy,0.0,Ice Cream Value
Japan,0.0,Ice Cream Value
Kazakhstan,0.0,Ice Cream Value
Kenya,0.0,Ice Cream Value
Latvia,0.0,Ice Cream Value
Lithuania,0.0,Ice Cream Value
Macedonia,0.0,Ice Cream Value
Malaysia,0.0,Ice Cream Value
Mexico,0.0,Ice Cream Value
Morocco,0.0,Ice Cream Value
Netherlands,0.0,Ice Cream Value
New Zealand,0.0,Ice Cream Value
Nigeria,0.0,Ice Cream Value
Norway,0.0,Ice Cream Value
Pakistan,0.0,Ice Cream Value
Peru,0.0,Ice Cream Value
Philippines,0.0,Ice Cream Value
Poland,0.0,Ice Cream Value
Portugal,0.0,Ice Cream Value
Romania,0.0,Ice Cream Value
Russia,0.0,Ice Cream Value
Saudi Arabia,0.0,Ice Cream Value
Serbia,0.0,Ice Cream Value
Singapore,0.0,Ice Cream Value
Slovakia,0.0,Ice Cream Value
Slovenia,0.0,Ice Cream Value
South Africa,0.0,Ice Cream Value
South Korea,0.0,Ice Cream Value
Spain,0.0,Ice Cream Value
Sweden,0.0,Ice Cream Value
Switzerland,0.0,Ice Cream Value
Taiwan,0.0,Ice Cream Value
Thailand,0.0,Ice Cream Value
Tunisia,0.0,Ice Cream Value
Turkey,0.0,Ice Cream Value
USA,0.0,Ice Cream Value
Ukraine,0.0,Ice Cream Value
United Arab Emirates,0.0,Ice Cream Value
United Kingdom,0.0,Ice Cream Value
Uruguay,0.0,Ice Cream Value
Uzbekistan,0.0,Ice Cream Value
Venezuela,0.0,Ice Cream Value
Vietnam,0.0,Ice Cream Value
Algeria,0.0,Ice Cream Volume
Argentina,0.0,Ice Cream Volume
Australia,0.0,Ice Cream Volume
Austria,0.0,Ice Cream Volume
Azerbaijan,0.0,Ice Cream Volume
Belarus,0.0,Ice Cream Volume
Belgium,0.0,Ice Cream Volume
Bolivia,0.0,Ice Cream Volume
Bosnia-Herzegovina,0.0,Ice Cream Volume
Brazil,0.0,Ice Cream Volume
Bulgaria,0.0,Ice Cream Volume
Cameroon,0.0,Ice Cream Volume
Canada,0.0,Ice Cream Volume
Chile,0.0,Ice Cream Volume
China,0.0,Ice Cream Volume
Colombia,0.0,Ice Cream Volume
Costa Rica,0.0,Ice Cream Volume
Croatia,0.0,Ice Cream Volume
Czech Republic,0.0,Ice Cream Volume
Denmark,0.0,Ice Cream Volume
Dominican Republic,0.0,Ice Cream Volume
Ecuador,0.0,Ice Cream Volume
Egypt,0.0,Ice Cream Volume
Estonia,0.0,Ice Cream Volume
Finland,0.0,Ice Cream Volume
France,0.0,Ice Cream Volume
Georgia,0.0,Ice Cream Volume
Germany,0.0,Ice Cream Volume
Greece,0.0,Ice Cream Volume
Guatemala,0.0,Ice Cream Volume
"Hong Kong, China",0.0,Ice Cream Volume
Hungary,0.0,Ice Cream Volume
India,0.0,Ice Cream Volume
Indonesia,0.0,Ice Cream Volume
Iran,0.0,Ice Cream Volume
Ireland,0.0,Ice Cream Volume
Israel,0.0,Ice Cream Volume
Italy,0.0,Ice Cream Volume
Japan,0.0,Ice Cream Volume
Kazakhstan,0.0,Ice Cream Volume
Kenya,0.0,Ice Cream Volume
Latvia,0.0,Ice Cream Volume
Lithuania,0.0,Ice Cream Volume
Macedonia,0.0,Ice Cream Volume
Malaysia,0.0,Ice Cream Volume
Mexico,0.0,Ice Cream Volume
Morocco,0.0,Ice Cream Volume
Netherlands,0.0,Ice Cream Volume
New Zealand,0.0,Ice Cream Volume
Nigeria,0.0,Ice Cream Volume
Norway,0.0,Ice Cream Volume
Pakistan,0.0,Ice Cream Volume
Peru,0.0,Ice Cream Volume
Philippines,0.0,Ice Cream Volume
Poland,0.0,Ice Cream Volume
Portugal,0.0,Ice Cream Volume
Romania,0.0,Ice Cream Volume
Russia,0.0,Ice Cream Volume
Saudi Arabia,0.0,Ice Cream Volume
Serbia,0.0,Ice Cream Volume
Singapore,0.0,Ice Cream Volume
Slovakia,0.0,Ice Cream Volume
Slovenia,0.0,Ice Cream Volume
South Africa,0.0,Ice Cream Volume
South Korea,0.0,Ice Cream Volume
Spain,0.0,Ice Cream Volume
Sweden,0.0,Ice Cream Volume
Switzerland,0.0,Ice Cream Volume
Taiwan,0.0,Ice Cream Volume
Thailand,0.0,Ice Cream Volume
Tunisia,0.0,Ice Cream Volume
Turkey,0.0,Ice Cream Volume
USA,0.0,Ice Cream Volume
Ukraine,0.0,Ice Cream Volume
United Arab Emirates,0.0,Ice Cream Volume
United Kingdom,0.0,Ice Cream Volume
Uruguay,0.0,Ice Cream Volume
Uzbekistan,0.0,Ice Cream Volume
Venezuela,0.0,Ice Cream Volume
Vietnam,0.0,Ice Cream Volume
Algeria,0.0,Ice Cream Price
Argentina,0.0,Ice Cream Price
Australia,0.0,Ice Cream Price
Austria,0.0,Ice Cream Price
Azerbaijan,0.0,Ice Cream Price
Belarus,0.0,Ice Cream Price
Belgium,0.0,Ice Cream Price
Bolivia,0.0,Ice Cream Price
Bosnia-Herzegovina,0.0,Ice Cream Price
Brazil,0.0,Ice Cream Price
Bulgaria,0.0,Ice Cream Price
Cameroon,0.0,Ice Cream Price
Canada,0.0,Ice Cream Price
Chile,0.0,Ice Cream Price
China,0.0,Ice Cream Price
Colombia,0.0,Ice Cream Price
Costa Rica,0.0,Ice Cream Price
Croatia,0.0,Ice Cream Price
Czech Republic,0.0,Ice Cream Price
Denmark,0.0,Ice Cream Price
Dominican Republic,0.0,Ice Cream Price
Ecuador,0.0,Ice Cream Price
Egypt,0.0,Ice Cream Price
Estonia,0.0,Ice Cream Price
Finland,0.0,Ice Cream Price
France,0.0,Ice Cream Price
Georgia,0.0,Ice Cream Price
Germany,0.0,Ice Cream Price
Greece,0.0,Ice Cream Price
Guatemala,0.0,Ice Cream Price
"Hong Kong, China",0.0,Ice Cream Price
Hungary,0.0,Ice Cream Price
India,0.0,Ice Cream Price
Indonesia,0.0,Ice Cream Price
Iran,0.0,Ice Cream Price
Ireland,0.0,Ice Cream Price
Israel,0.0,Ice Cream Price
Italy,0.0,Ice Cream Price
Japan,0.0,Ice Cream Price
Kazakhstan,0.0,Ice Cream Price
Kenya,0.0,Ice Cream Price
Latvia,0.0,Ice Cream Price
Lithuania,0.0,Ice Cream Price
Macedonia,0.0,Ice Cream Price
Malaysia,0.0,Ice Cream Price
Mexico,0.0,Ice Cream Price
Morocco,0.0,Ice Cream Price
Netherlands,0.0,Ice Cream Price
New Zealand,0.0,Ice Cream Price
Nigeria,0.0,Ice Cream Price
Norway,0.0,Ice Cream Price
Pakistan,0.0,Ice Cream Price
Peru,0.0,Ice Cream Price
Philippines,0.0,Ice Cream Price
Poland,0.0,Ice Cream Price
Portugal,0.0,Ice Cream Price
Romania,0.0,Ice Cream Price
Russia,0.0,Ice Cream Price
Saudi Arabia,0.0,Ice Cream Price
Serbia,0.0,Ice Cream Price
Singapore,0.0,Ice Cream Price
Slovakia,0.0,Ice Cream Price
Slovenia,0.0,Ice Cream Price
South Africa,0.0,Ice Cream Price
South Korea,0.0,Ice Cream Price
Spain,0.0,Ice Cream Price
Sweden,0.0,Ice Cream Price
Switzerland,0.0,Ice Cream Price
Taiwan,0.0,Ice Cream Price
Thailand,0.0,Ice Cream Price
Tunisia,0.0,Ice Cream Price
Turkey,0.0,Ice Cream Price
USA,0.0,Ice Cream Price
Ukraine,0.0,Ice Cream Price
United Arab Emirates,0.0,Ice Cream Price
United Kingdom,0.0,Ice Cream Price
Uruguay,0.0,Ice Cream Price
Uzbekistan,0.0,Ice Cream Price
Venezuela,0.0,Ice Cream Price
Vietnam,0.0,Ice Cream Price
Algeria,0.0,GDP
Argentina,0.0,GDP
Australia,0.0,GDP
Austria,0.0,GDP
Azerbaijan,0.0,GDP
Belarus,0.0,GDP
Belgium,0.0,GDP
Bolivia,0.0,GDP
Bosnia-Herzegovina,0.0,GDP
Brazil,0.0,GDP
Bulgaria,0.0,GDP
Cameroon,0.0,GDP
Canada,0.0,GDP
Chile,0.0,GDP
China,0.0,GDP
Colombia,0.0,GDP
Costa Rica,0.0,GDP
Croatia,0.0,GDP
Czech Republic,0.0,GDP
Denmark,0.0,GDP
Dominican Republic,0.0,GDP
Ecuador,0.0,GDP
Egypt,0.0,GDP
Estonia,0.0,GDP
Finland,0.0,GDP
France,0.0,GDP
Georgia,0.0,GDP
Germany,0.0,GDP
Greece,0.0,GDP
Guatemala,0.0,GDP
"Hong Kong, China",0.0,GDP
Hungary,0.0,GDP
India,0.0,GDP
Indonesia,0.0,GDP
Iran,0.0,GDP
Ireland,0.0,GDP
Israel,0.0,GDP
Italy,0.0,GDP
Japan,0.0,GDP
Kazakhstan,0.0,GDP
Kenya,0.0,GDP
Latvia,0.0,GDP
Lithuania,0.0,GDP
Macedonia,0.0,GDP
Malaysia,0.0,GDP
Mexico,0.0,GDP
Morocco,0.0,GDP
Netherlands,0.0,GDP
New Zealand,0.0,GDP
Nigeria,0.0,GDP
Norway,0.0,GDP
Pakistan,0.0,GDP
Peru,0.0,GDP
Philippines,0.0,GDP
Poland,0.0,GDP
Portugal,0.0,GDP
Romania,0.0,GDP
Russia,0.0,GDP
Saudi Arabia,0.0,GDP
Serbia,0.0,GDP
Singapore,0.0,GDP
Slovakia,0.0,GDP
Slovenia,0.0,GDP
South Africa,0.0,GDP
South Korea,0.0,GDP
Spain,0.0,GDP
Sweden,0.0,GDP
Switzerland,0.0,GDP
Taiwan,0.0,GDP
Thailand,0.0,GDP
Tunisia,0.0,GDP
Turkey,0.0,GDP
USA,0.0,GDP
Ukraine,0.0,GDP
United Arab Emirates,0.0,GDP
United Kingdom,0.0,GDP
Uruguay,0.0,GDP
Uzbekistan,0.0,GDP
Venezuela,0.0,GDP
Vietnam,0.0,GDP
Algeria,0.0,Population
Argentina,0.0,Population
Australia,0.0,Population
Austria,0.0,Population
Azerbaijan,0.0,Population
Belarus,0.0,Population
Belgium,0.0,Population
Bolivia,0.0,Population
Bosnia-Herzegovina,0.0,Population
Brazil,0.0,Population
Bulgaria,0.0,Population
Cameroon,0.0,Population
Canada,0.0,Population
Chile,0.0,Population
China,0.0,Population
Colombia,0.0,Population
Costa Rica,0.0,Population
Croatia,0.0,Population
Czech Republic,0.0,Population
Denmark,0.0,Population
Dominican Republic,0.0,Population
Ecuador,0.0,Population
Egypt,0.0,Population
Estonia,0.0,Population
Finland,0.0,Population
France,0.0,Population
Georgia,0.0,Population
Germany,0.0,Population
Greece,0.0,Population
Guatemala,0.0,Population
"Hong Kong, China",0.0,Population
Hungary,0.0,Population
India,0.0,Population
Indonesia,0.0,Population
Iran,0.0,Population
Ireland,0.0,Population
Israel,0.0,Population
Italy,0.0,Population
Japan,0.0,Population
Kazakhstan,0.0,Population
Kenya,0.0,Population
Latvia,0.0,Population
Lithuania,0.0,Population
Macedonia,0.0,Population
Malaysia,0.0,Population
Mexico,0.0,Population
Morocco,0.0,Population
Netherlands,0.0,Population
New Zealand,0.0,Population
Nigeria,0.0,Population
Norway,0.0,Population
Pakistan,0.0,Population
Peru,0.0,Population
Philippines,0.0,Population
Poland,0.0,Population
Portugal,0.0,Population
Romania,0.0,Population
Russia,0.0,Population
Saudi Arabia,0.0,Population
Serbia,0.0,Population
Singapore,0.0,Population
Slovakia,0.0,Population
Slovenia,0.0,Population
South Africa,0.0,Population
South Korea,0.0,Population
Spain,0.0,Population
Sweden,0.0,Population
Switzerland,0.0,Population
Taiwan,0.0,Population
Thailand,0.0,Population
Tunisia,0.0,Population
Turkey,0.0,Population
USA,0.0,Population
Ukraine,0.0,Population
United Arab Emirates,0.0,Population
United Kingdom,0.0,Population
Uruguay,0.0,Population
Uzbekistan,0.0,Population
Venezuela,0.0,Population
Vietnam,0.0,Population
Algeria,0.0,Refrigerator Possession
Argentina,0.0,Refrigerator Possession
Australia,0.0,Refrigerator Possession
Austria,0.0,Refrigerator Possession
Azerbaijan,0.0,Refrigerator Possession
Belarus,0.0,Refrigerator Possession
Belgium,0.0,Refrigerator Possession
Bolivia,0.0,Refrigerator Possession
Bosnia-Herzegovina,0.0,Refrigerator Possession
Brazil,0.0,Refrigerator Possession
Bulgaria,0.0,Refrigerator Possession
Cameroon,0.0,Refrigerator Possession
Canada,0.0,Refrigerator Possession
Chile,0.0,Refrigerator Possession
China,0.0,Refrigerator Possession
Colombia,0.0,Refrigerator Possession
Costa Rica,0.0,Refrigerator Possession
Croatia,0.0,Refrigerator Possession
Czech Republic,0.0,Refrigerator Possession
Denmark,0.0,Refrigerator Possession
Dominican Republic,0.0,Refrigerator Possession
Ecuador,0.0,Refrigerator Possession
Egypt,0.0,Refrigerator Possession
Estonia,0.0,Refrigerator Possession
Finland,0.0,Refrigerator Possession
France,0.0,Refrigerator Possession
Georgia,0.0,Refrigerator Possession
Germany,0.0,Refrigerator Possession
Greece,0.0,Refrigerator Possession
Guatemala,0.0,Refrigerator Possession
"Hong Kong, China",0.0,Refrigerator Possession
Hungary,0.0,Refrigerator Possession
India,0.0,Refrigerator Possession
Indonesia,0.0,Refrigerator Possession
Iran,0.0,Refrigerator Possession
Ireland,0.0,Refrigerator Possession
Israel,0.0,Refrigerator Possession
Italy,0.0,Refrigerator Possession
Japan,0.0,Refrigerator Possession
Kazakhstan,0.0,Refrigerator Possession
Kenya,0.0,Refrigerator Possession
Latvia,0.0,Refrigerator Possession
Lithuania,0.0,Refrigerator Possession
Macedonia,0.0,Refrigerator Possession
Malaysia,0.0,Refrigerator Possession
Mexico,0.0,Refrigerator Possession
Morocco,0.0,Refrigerator Possession
Netherlands,0.0,Refrigerator Possession
New Zealand,0.0,Refrigerator Possession
Nigeria,0.0,Refrigerator Possession
Norway,0.0,Refrigerator Possession
Pakistan,0.0,Refrigerator Possession
Peru,0.0,Refrigerator Possession
Philippines,0.0,Refrigerator Possession
Poland,0.0,Refrigerator Possession
Portugal,0.0,Refrigerator Possession
Romania,0.0,Refrigerator Possession
Russia,0.0,Refrigerator Possession
Saudi Arabia,0.0,Refrigerator Possession
Serbia,0.0,Refrigerator Possession
Singapore,0.0,Refrigerator Possession
Slovakia,0.0,Refrigerator Possession
Slovenia,0.0,Refrigerator Possession
South Africa,0.0,Refrigerator Possession
South Korea,0.0,Refrigerator Possession
Spain,0.0,Refrigerator Possession
Sweden,0.0,Refrigerator Possession
Switzerland,0.0,Refrigerator Possession
Taiwan,0.0,Refrigerator Possession
Thailand,0.0,Refrigerator Possession
Tunisia,0.0,Refrigerator Possession
Turkey,0.0,Refrigerator Possession
USA,0.0,Refrigerator Possession
Ukraine,0.0,Refrigerator Possession
United Arab Emirates,0.0,Refrigerator Possession
United Kingdom,0.0,Refrigerator Possession
Uruguay,0.0,Refrigerator Possession
Uzbekistan,0.0,Refrigerator Possession
Venezuela,0.0,Refrigerator Possession
Vietnam,0.0,Refrigerator Possession
Algeria,0.0,Ice Cream Volume per Capita
Argentina,0.0,Ice Cream Volume per Capita
Australia,0.0,Ice Cream Volume per Capita
Austria,0.0,Ice Cream Volume per Capita
Azerbaijan,0.0,Ice Cream Volume per Capita
Belarus,0.0,Ice Cream Volume per Capita
Belgium,0.0,Ice Cream Volume per Capita
Bolivia,0.0,Ice Cream Volume per Capita
Bosnia-Herzegovina,0.0,Ice Cream Volume per Capita
Brazil,0.0,Ice Cream Volume per Capita
Bulgaria,0.0,Ice Cream Volume per Capita
Cameroon,0.0,Ice Cream Volume per Capita
Canada,0.0,Ice Cream Volume per Capita
Chile,0.0,Ice Cream Volume per Capita
China,0.0,Ice Cream Volume per Capita
Colombia,0.0,Ice Cream Volume per Capita
Costa Rica,0.0,Ice Cream Volume per Capita
Croatia,0.0,Ice Cream Volume per Capita
Czech Republic,0.0,Ice Cream Volume per Capita
Denmark,0.0,Ice Cream Volume per Capita
Dominican Republic,0.0,Ice Cream Volume per Capita
Ecuador,0.0,Ice Cream Volume per Capita
Egypt,0.0,Ice Cream Volume per Capita
Estonia,0.0,Ice Cream Volume per Capita
Finland,0.0,Ice Cream Volume per Capita
France,0.0,Ice Cream Volume per Capita
Georgia,0.0,Ice Cream Volume per Capita
Germany,0.0,Ice Cream Volume per Capita
Greece,0.0,Ice Cream Volume per Capita
Guatemala,0.0,Ice Cream Volume per Capita
"Hong Kong, China",0.0,Ice Cream Volume per Capita
Hungary,0.0,Ice Cream Volume per Capita
India,0.0,Ice Cream Volume per Capita
Indonesia,0.0,Ice Cream Volume per Capita
Iran,0.0,Ice Cream Volume per Capita
Ireland,0.0,Ice Cream Volume per Capita
Israel,0.0,Ice Cream Volume per Capita
Italy,0.0,Ice Cream Volume per Capita
Japan,0.0,Ice Cream Volume per Capita
Kazakhstan,0.0,Ice Cream Volume per Capita
Kenya,0.0,Ice Cream Volume per Capita
Latvia,0.0,Ice Cream Volume per Capita
Lithuania,0.0,Ice Cream Volume per Capita
Macedonia,0.0,Ice Cream Volume per Capita
Malaysia,0.0,Ice Cream Volume per Capita
Mexico,0.0,Ice Cream Volume per Capita
Morocco,0.0,Ice Cream Volume per Capita
Netherlands,0.0,Ice Cream Volume per Capita
New Zealand,0.0,Ice Cream Volume per Capita
Nigeria,0.0,Ice Cream Volume per Capita
Norway,0.0,Ice Cream Volume per Capita
Pakistan,0.0,Ice Cream Volume per Capita
Peru,0.0,Ice Cream Volume per Capita
Philippines,0.0,Ice Cream Volume per Capita
Poland,0.0,Ice Cream Volume per Capita
Portugal,0.0,Ice Cream Volume per Capita
Romania,0.0,Ice Cream Volume per Capita
Russia,0.0,Ice Cream Volume per Capita
Saudi Arabia,0.0,Ice Cream Volume per Capita
Serbia,0.0,Ice Cream Volume per Capita
Singapore,0.0,Ice Cream Volume per Capita
Slovakia,0.0,Ice Cream Volume per Capita
Slovenia,0.0,Ice Cream Volume per Capita
South Africa,0.0,Ice Cream Volume per Capita
South Korea,0.0,Ice Cream Volume per Capita
Spain,0.0,Ice Cream Volume per Capita
Sweden,0.0,Ice Cream Volume per Capita
Switzerland,0.0,Ice Cream Volume per Capita
Taiwan,0.0,Ice Cream Volume per Capita
Thailand,0.0,Ice Cream Volume per Capita
Tunisia,0.0,Ice Cream Volume per Capita
Turkey,0.0,Ice Cream Volume per Capita
USA,0.0,Ice Cream Volume per Capita
Ukraine,0.0,Ice Cream Volume per Capita
United Arab Emirates,0.0,Ice Cream Volume per Capita
United Kingdom,0.0,Ice Cream Volume per Capita
Uruguay,0.0,Ice Cream Volume per Capita
Uzbekistan,0.0,Ice Cream Volume per Capita
Venezuela,0.0,Ice Cream Volume per Capita
Vietnam,0.0,Ice Cream Volume per Capita
Algeria,0.0,GDP per Capita
Argentina,0.0,GDP per Capita
Australia,0.0,GDP per Capita
Austria,0.0,GDP per Capita
Azerbaijan,0.0,GDP per Capita
Belarus,0.0,GDP per Capita
Belgium,0.0,GDP per Capita
Bolivia,0.0,GDP per Capita
Bosnia-Herzegovina,0.0,GDP per Capita
Brazil,0.0,GDP per Capita
Bulgaria,0.0,GDP per Capita
Cameroon,0.0,GDP per Capita
Canada,0.0,GDP per Capita
Chile,0.0,GDP per Capita
China,0.0,GDP per Capita
Colombia,0.0,GDP per Capita
Costa Rica,0.0,GDP per Capita
Croatia,0.0,GDP per Capita
Czech Republic,0.0,GDP per Capita
Denmark,0.0,GDP per Capita
Dominican Republic,0.0,GDP per Capita
Ecuador,0.0,GDP per Capita
Egypt,0.0,GDP per Capita
Estonia,0.0,GDP per Capita
Finland,0.0,GDP per Capita
France,0.0,GDP per Capita
Georgia,0.0,GDP per Capita
Germany,0.0,GDP per Capita
Greece,0.0,GDP per Capita
Guatemala,0.0,GDP per Capita
"Hong Kong, China",0.0,GDP per Capita
Hungary,0.0,GDP per Capita
India,0.0,GDP per Capita
Indonesia,0.0,GDP per Capita
Iran,0.0,GDP per Capita
Ireland,0.0,GDP per Capita
Israel,0.0,GDP per Capita
Italy,0.0,GDP per Capita
Japan,0.0,GDP per Capita
Kazakhstan,0.0,GDP per Capita
Kenya,0.0,GDP per Capita
Latvia,0.0,GDP per Capita
Lithuania,0.0,GDP per Capita
Macedonia,0.0,GDP per Capita
Malaysia,0.0,GDP per Capita
Mexico,0.0,GDP per Capita
Morocco,0.0,GDP per Capita
Netherlands,0.0,GDP per Capita
New Zealand,0.0,GDP per Capita
Nigeria,0.0,GDP per Capita
Norway,0.0,GDP per Capita
Pakistan,0.0,GDP per Capita
Peru,0.0,GDP per Capita
Philippines,0.0,GDP per Capita
Poland,0.0,GDP per Capita
Portugal,0.0,GDP per Capita
Romania,0.0,GDP per Capita
Russia,0.0,GDP per Capita
Saudi Arabia,0.0,GDP per Capita
Serbia,0.0,GDP per Capita
Singapore,0.0,GDP per Capita
Slovakia,0.0,GDP per Capita
Slovenia,0.0,GDP per Capita
South Africa,0.0,GDP per Capita
South Korea,0.0,GDP per Capita
Spain,0.0,GDP per Capita
Sweden,0.0,GDP per Capita
Switzerland,0.0,GDP per Capita
Taiwan,0.0,GDP per Capita
Thailand,0.0,GDP per Capita
Tunisia,0.0,GDP per Capita
Turkey,0.0,GDP per Capita
USA,0.0,GDP per Capita
Ukraine,0.0,GDP per Capita
United Arab Emirates,0.0,GDP per Capita
United Kingdom,0.0,GDP per Capita
Uruguay,0.0,GDP per Capita
Uzbekistan,0.0,GDP per Capita
Venezuela,0.0,GDP per Capita
Vietnam,0.0,GDP per Capita
